topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality,story_type
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,4,1.2448918269230769,-27.640625,-35.97174072265625,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,4,1.2279146634615385,-43.5830078125,-65.162109375,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,6,1,4,1.2448918269230769,-37.58935546875,-37.565185546875,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,4,1.2279146634615385,-63.37415313720703,-76.99696350097656,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,8,1,4,1.2448918269230769,-49.96133804321289,-82.04650115966797,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,4,1.2279146634615385,-38.537776947021484,-61.086448669433594,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,2,1,4,0.06881009615384616,-33.77734375,-57.453125,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,4,0.234375,-46.228515625,-62.1572265625,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,4,1,4,1.5537860576923077,-27.9208984375,-43.14453125,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,4,1.6810396634615385,-31.2406005859375,-61.84375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,6,1,4,1.5537860576923077,-24.739834308624268,-45.24628925323486,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,4,1.6810396634615385,-40.642578125,-42.85546875,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,8,1,4,1.5537860576923077,-43.39433813095093,-59.75942611694336,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,4,1.6810396634615385,-50.51484680175781,-69.1863899230957,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,2,1,4,0.23152043269230768,-30.504199028015137,-42.71184539794922,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,4,0.3551682692307692,-24.287109375,-52.5751953125,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,4,1,4,2.199894831730769,-28.80859375,-45.6875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,4,1.9779897836538463,-60.22265625,-79.02734375,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,6,1,4,2.199894831730769,-26.0364990234375,-36.70135498046875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,4,1.9779897836538463,-41.173828125,-66.67578125,clairvoyant
